"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000000001",1069,1366,1120,1342,1340
"ENSMUSG00000000028",155,135,133,123,114
"ENSMUSG00000000031",212,114,93,998,65
"ENSMUSG00000000037",24,26,10,30,30
"ENSMUSG00000000049",20,64,30,14,21
"ENSMUSG00000000056",5483,6987,6165,5477,7075
"ENSMUSG00000000058",2363,2394,2369,2192,1911
"ENSMUSG00000000078",2979,4480,2701,3236,3194
"ENSMUSG00000000085",1598,1608,1523,1610,1655
"ENSMUSG00000000088",21494,20104,22805,21850,22240
"ENSMUSG00000000093",165,193,139,121,215
"ENSMUSG00000000120",115,73,101,88,80
"ENSMUSG00000000126",348,282,246,269,231
"ENSMUSG00000000127",1102,1138,1288,1187,1099
"ENSMUSG00000000131",859,643,713,731,642
"ENSMUSG00000000134",601,536,571,592,573
"ENSMUSG00000000142",175,133,174,165,220
"ENSMUSG00000000148",482,500,410,427,420
"ENSMUSG00000000149",8413,9022,7658,8042,8334
"ENSMUSG00000000154",39,22,37,21,39
"ENSMUSG00000000159",1,1,0,0,0
"ENSMUSG00000000167",15,17,16,21,21
"ENSMUSG00000000168",17029,17404,17984,16856,20132
"ENSMUSG00000000171",20813,20431,22434,20726,18447
"ENSMUSG00000000184",4217,4787,4556,4628,5357
"ENSMUSG00000000194",2188,2046,2111,2046,2334
"ENSMUSG00000000197",71,57,58,67,82
"ENSMUSG00000000204",10,13,7,15,21
"ENSMUSG00000000223",35,29,42,29,9
"ENSMUSG00000000244",15,13,9,14,2
"ENSMUSG00000000247",0,1,1,2,0
"ENSMUSG00000000253",4389,4346,4535,4816,4567
"ENSMUSG00000000266",1032,1520,1341,1532,1213
"ENSMUSG00000000275",1671,1706,1421,1583,1452
"ENSMUSG00000000276",1035,854,982,841,948
"ENSMUSG00000000278",837,781,671,810,623
"ENSMUSG00000000282",320,433,300,348,207
"ENSMUSG00000000290",341,369,417,420,371
"ENSMUSG00000000295",110,85,115,114,127
"ENSMUSG00000000296",269,346,326,449,287
"ENSMUSG00000000301",62,50,56,40,67
"ENSMUSG00000000303",15,0,8,1,0
"ENSMUSG00000000305",129,194,102,109,114
"ENSMUSG00000000308",37,46,61,35,45
"ENSMUSG00000000317",926,689,930,981,662
"ENSMUSG00000000318",82,64,104,80,30
"ENSMUSG00000000320",151,85,235,303,164
"ENSMUSG00000000326",6089,6659,5501,5092,5573
"ENSMUSG00000000339",763,781,832,812,668
"ENSMUSG00000000340",4299,4443,4940,4784,5340
"ENSMUSG00000000346",6177,6221,6585,6472,6079
"ENSMUSG00000000355",566,592,667,629,683
"ENSMUSG00000000359",396,254,354,306,276
