"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000000001",540,485,394,456,417,406
"ENSMUSG00000000028",34,39,34,46,61,30
"ENSMUSG00000000031",1157,124,423,192,39,68
"ENSMUSG00000000037",34,11,19,8,9,8
"ENSMUSG00000000049",4,30,0,100,11,0
"ENSMUSG00000000056",1187,1161,1380,1296,1529,1373
"ENSMUSG00000000058",792,1000,573,1024,922,824
"ENSMUSG00000000078",1243,1153,964,777,1143,1228
"ENSMUSG00000000085",454,398,556,492,507,537
"ENSMUSG00000000088",6412,10846,8205,9118,8921,7613
"ENSMUSG00000000093",108,73,81,73,76,89
"ENSMUSG00000000120",23,3,6,14,12,19
"ENSMUSG00000000126",65,79,90,83,87,67
"ENSMUSG00000000127",203,222,237,234,249,233
"ENSMUSG00000000131",680,894,880,606,636,751
"ENSMUSG00000000134",256,192,221,255,194,209
"ENSMUSG00000000142",42,24,26,36,30,32
"ENSMUSG00000000148",136,105,123,134,100,104
"ENSMUSG00000000149",1405,1720,1668,1561,1770,1945
"ENSMUSG00000000154",4,1,3,8,8,1
"ENSMUSG00000000159",1,1,0,2,0,0
"ENSMUSG00000000167",2,0,5,2,4,1
"ENSMUSG00000000168",4902,5458,4738,4996,5703,5922
"ENSMUSG00000000171",5087,7348,6075,6606,7184,6130
"ENSMUSG00000000184",1588,954,1438,1417,1415,1616
"ENSMUSG00000000194",544,436,589,612,556,570
"ENSMUSG00000000197",21,11,14,8,9,8
"ENSMUSG00000000204",5,22,9,9,3,7
"ENSMUSG00000000223",24,4,9,8,11,1
"ENSMUSG00000000244",10,8,5,17,5,3
"ENSMUSG00000000247",0,0,0,0,0,0
"ENSMUSG00000000253",1068,1194,1315,1177,1328,1257
"ENSMUSG00000000266",302,338,266,304,377,373
"ENSMUSG00000000275",534,453,593,545,593,716
"ENSMUSG00000000276",379,422,294,503,373,383
"ENSMUSG00000000278",291,244,243,257,228,195
"ENSMUSG00000000282",155,165,184,132,135,153
"ENSMUSG00000000290",77,85,54,101,79,58
"ENSMUSG00000000295",24,45,24,21,25,21
"ENSMUSG00000000296",42,110,53,85,100,68
"ENSMUSG00000000301",7,14,20,12,9,7
"ENSMUSG00000000303",5,0,1,5,0,1
"ENSMUSG00000000305",38,43,41,43,21,53
"ENSMUSG00000000308",6,3,6,1,0,1
"ENSMUSG00000000317",480,384,372,494,509,520
"ENSMUSG00000000318",59,39,23,26,25,18
"ENSMUSG00000000320",55,132,53,81,47,57
"ENSMUSG00000000326",1233,1456,1932,1926,1749,1795
"ENSMUSG00000000339",256,250,232,238,227,220
"ENSMUSG00000000340",769,800,720,1069,1278,1201
"ENSMUSG00000000346",2495,2776,2827,2701,2783,2882
"ENSMUSG00000000355",238,333,229,288,317,211
"ENSMUSG00000000359",40,42,57,55,59,47
"ENSMUSG00000000365",4,6,10,5,11,4
"ENSMUSG00000000374",608,489,568,669,731,760
"ENSMUSG00000000378",225,296,271,273,267,245
"ENSMUSG00000000384",551,635,700,582,672,723
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000392",57,59,53,57,77,71
"ENSMUSG00000000399",5712,8465,7520,7915,8206,6947
"ENSMUSG00000000402",11,3,0,1,2,1
"ENSMUSG00000000409",119,61,3,19,21,11
"ENSMUSG00000000416",25,8,22,20,15,10
"ENSMUSG00000000420",1454,1228,1423,1490,1637,1542
"ENSMUSG00000000439",456,578,520,580,648,594
"ENSMUSG00000000440",151,131,147,177,163,178
"ENSMUSG00000000441",1531,1578,1732,1618,1609,1895
"ENSMUSG00000000486",57,24,20,32,21,33
"ENSMUSG00000000489",466,344,502,498,491,492
"ENSMUSG00000000530",325,373,405,328,370,394
"ENSMUSG00000000531",65,77,64,72,81,81
"ENSMUSG00000000532",270,234,198,238,286,269
"ENSMUSG00000000538",2001,1892,2306,1911,2066,2317
"ENSMUSG00000000552",149,87,117,98,91,98
"ENSMUSG00000000555",739,630,755,649,562,711
"ENSMUSG00000000561",535,593,671,516,574,577
"ENSMUSG00000000563",13814,22291,15919,19019,19639,17001
"ENSMUSG00000000567",29,21,19,20,17,9
"ENSMUSG00000000568",722,677,782,744,752,892
"ENSMUSG00000000579",79,82,83,73,70,91
"ENSMUSG00000000581",389,665,457,491,508,373
"ENSMUSG00000000594",327,393,349,246,250,203
"ENSMUSG00000000600",655,559,513,555,675,615
"ENSMUSG00000000605",1429,1718,1447,1439,1431,1436
"ENSMUSG00000000628",3028,3065,3142,3951,3867,4729
"ENSMUSG00000000631",1942,1527,2270,2086,2079,2715
"ENSMUSG00000000673",3,4,1,15,0,1
"ENSMUSG00000000682",32,29,22,46,35,35
"ENSMUSG00000000686",5,6,11,12,17,16
"ENSMUSG00000000693",88,69,77,55,48,49
"ENSMUSG00000000708",1395,1579,1477,1443,1706,1708
"ENSMUSG00000000711",1236,941,1182,1253,1474,1395
"ENSMUSG00000000732",121,135,128,77,86,109
"ENSMUSG00000000738",1027,1245,1194,1171,1227,1262
"ENSMUSG00000000739",14,6,7,5,2,3
"ENSMUSG00000000740",2953,5863,4085,3890,3326,2946
"ENSMUSG00000000743",739,847,876,848,785,755
"ENSMUSG00000000751",804,891,940,816,826,895
"ENSMUSG00000000753",425,274,293,323,264,172
"ENSMUSG00000000759",356,322,362,353,371,361
"ENSMUSG00000000776",171,229,230,188,222,224
"ENSMUSG00000000782",141,41,6,23,18,12
"ENSMUSG00000000787",4253,3449,3410,4270,4662,4386
"ENSMUSG00000000791",1,0,2,1,2,0
"ENSMUSG00000000794",40,27,25,30,24,55
"ENSMUSG00000000804",439,367,364,447,499,501
"ENSMUSG00000000811",274,194,250,235,248,276
"ENSMUSG00000000817",0,1,0,2,2,0
"ENSMUSG00000000823",329,301,332,322,281,304
"ENSMUSG00000000826",1122,991,1161,1194,1162,1265
"ENSMUSG00000000827",619,810,700,676,667,591
"ENSMUSG00000000838",322,301,205,269,246,232
"ENSMUSG00000000861",26,28,22,39,40,57
"ENSMUSG00000000876",308,332,348,308,322,349
"ENSMUSG00000000881",86,142,129,105,99,93
"ENSMUSG00000000884",32,44,38,44,39,31
"ENSMUSG00000000901",113,71,88,105,80,79
"ENSMUSG00000000902",288,292,310,277,218,274
"ENSMUSG00000000903",1,0,0,0,0,0
"ENSMUSG00000000915",244,219,303,266,266,303
"ENSMUSG00000000916",120,135,162,121,118,171
"ENSMUSG00000000934",62,88,95,81,80,68
"ENSMUSG00000000942",6,4,1,3,6,2
"ENSMUSG00000000948",65,22,14,58,53,52
"ENSMUSG00000000957",218,162,146,200,165,212
"ENSMUSG00000000958",256,27,207,34,28,30
"ENSMUSG00000000959",836,905,1198,988,1016,1178
"ENSMUSG00000000976",168,120,133,153,170,144
"ENSMUSG00000000982",1,0,0,3,1,0
"ENSMUSG00000001014",9,16,12,4,6,11
"ENSMUSG00000001016",401,366,471,487,434,371
"ENSMUSG00000001017",1283,1553,1310,1349,1417,1357
"ENSMUSG00000001018",678,879,748,811,824,811
"ENSMUSG00000001020",65,50,59,53,42,37
"ENSMUSG00000001025",445,493,416,398,338,243
"ENSMUSG00000001027",309,292,247,355,427,627
"ENSMUSG00000001029",228,233,235,301,223,206
"ENSMUSG00000001034",72,79,102,86,83,85
"ENSMUSG00000001036",522,414,524,463,523,501
"ENSMUSG00000001039",32,34,24,31,19,31
"ENSMUSG00000001052",454,353,406,353,396,420
"ENSMUSG00000001053",111,102,129,141,128,120
"ENSMUSG00000001054",170,126,187,178,167,172
"ENSMUSG00000001056",120,267,149,181,144,99
"ENSMUSG00000001062",246,287,286,289,261,276
"ENSMUSG00000001065",219,252,283,184,205,255
"ENSMUSG00000001082",84,92,76,71,59,59
"ENSMUSG00000001089",828,581,695,757,744,816
"ENSMUSG00000001095",0,0,0,0,0,0
"ENSMUSG00000001098",768,662,770,767,768,824
"ENSMUSG00000001100",1178,1263,1448,1404,1404,1531
"ENSMUSG00000001103",0,2,0,0,4,0
"ENSMUSG00000001105",270,347,318,270,274,250
"ENSMUSG00000001119",1320,871,961,1339,1316,1200
"ENSMUSG00000001120",33,28,27,23,17,35
"ENSMUSG00000001123",373,269,405,480,378,321
"ENSMUSG00000001127",1013,1203,1028,1091,1090,1064
"ENSMUSG00000001128",76,95,74,107,47,47
"ENSMUSG00000001131",27,27,27,25,7,19
"ENSMUSG00000001134",127,253,188,207,142,153
"ENSMUSG00000001138",172,174,200,191,163,162
"ENSMUSG00000001143",338,352,414,360,316,478
"ENSMUSG00000001150",437,406,464,410,375,417
"ENSMUSG00000001151",796,676,935,772,825,1138
"ENSMUSG00000001155",0,2,1,12,2,0
"ENSMUSG00000001156",96,115,106,100,88,96
"ENSMUSG00000001157",108,154,102,154,163,119
"ENSMUSG00000001158",316,544,346,416,397,301
"ENSMUSG00000001166",9,12,9,12,6,3
"ENSMUSG00000001173",252,240,249,283,302,245
"ENSMUSG00000001175",2876,3183,2713,3175,3143,2951
"ENSMUSG00000001211",2576,3338,3193,2498,2955,2992
"ENSMUSG00000001225",34,1,2,0,0,3
"ENSMUSG00000001227",108,107,109,95,117,137
"ENSMUSG00000001228",42,22,10,40,22,23
"ENSMUSG00000001229",489,335,529,517,509,602
"ENSMUSG00000001240",365,355,353,289,293,307
"ENSMUSG00000001247",34,17,11,11,8,5
"ENSMUSG00000001248",575,579,573,498,456,506
"ENSMUSG00000001249",13,18,15,23,17,13
"ENSMUSG00000001270",539,413,478,518,448,494
"ENSMUSG00000001280",675,595,654,601,662,675
"ENSMUSG00000001281",12,24,6,13,21,16
"ENSMUSG00000001285",188,180,185,169,201,162
"ENSMUSG00000001288",211,186,160,205,175,196
"ENSMUSG00000001289",960,2118,1341,1115,1268,979
"ENSMUSG00000001300",334,246,273,289,291,382
"ENSMUSG00000001305",86,79,120,76,108,91
"ENSMUSG00000001313",50,64,45,52,50,48
"ENSMUSG00000001323",383,321,426,409,436,445
"ENSMUSG00000001334",4431,6109,5979,4979,4852,4814
"ENSMUSG00000001348",27,20,10,10,5,11
"ENSMUSG00000001349",19,17,18,6,22,25
"ENSMUSG00000001366",509,399,452,408,393,434
"ENSMUSG00000001376",315,341,303,342,371,348
"ENSMUSG00000001380",385,389,418,448,458,447
"ENSMUSG00000001383",523,823,584,613,564,562
"ENSMUSG00000001403",26,18,17,38,17,1
"ENSMUSG00000001415",838,938,966,1006,974,1088
"ENSMUSG00000001416",1515,1568,1920,1878,1731,1760
"ENSMUSG00000001418",402,435,481,375,391,438
"ENSMUSG00000001419",2097,2135,2329,1796,2093,2450
"ENSMUSG00000001420",9,1,3,4,0,0
"ENSMUSG00000001424",779,622,792,730,731,895
"ENSMUSG00000001435",165,87,150,157,154,125
"ENSMUSG00000001436",50,47,49,39,27,37
"ENSMUSG00000001440",2033,1852,1881,1989,2048,2100
"ENSMUSG00000001441",1454,1081,1297,1469,1505,1650
"ENSMUSG00000001444",3,1,0,0,0,3
"ENSMUSG00000001445",542,731,657,613,672,638
"ENSMUSG00000001467",188,244,208,252,252,234
"ENSMUSG00000001472",2335,2074,2797,2043,2090,2212
"ENSMUSG00000001473",195,262,285,278,215,211
"ENSMUSG00000001482",684,875,916,741,911,892
"ENSMUSG00000001493",253,179,218,221,151,151
"ENSMUSG00000001506",968,518,569,978,891,817
"ENSMUSG00000001507",173,109,148,114,120,154
"ENSMUSG00000001517",27,16,9,36,21,11
"ENSMUSG00000001518",196,149,231,145,123,146
"ENSMUSG00000001521",101,123,114,123,103,139
"ENSMUSG00000001524",103,124,158,168,132,132
"ENSMUSG00000001525",1252,931,1107,1148,1039,954
"ENSMUSG00000001542",239,243,336,193,255,338
"ENSMUSG00000001552",1818,1633,1873,2301,2131,2693
"ENSMUSG00000001555",299,317,423,233,274,322
"ENSMUSG00000001569",296,265,301,307,338,287
"ENSMUSG00000001576",499,465,488,483,496,546
"ENSMUSG00000001583",2,0,6,0,0,1
"ENSMUSG00000001588",51,21,11,16,9,11
"ENSMUSG00000001604",771,1177,902,864,1032,968
"ENSMUSG00000001627",509,761,643,477,574,643
"ENSMUSG00000001630",333,327,300,303,306,357
"ENSMUSG00000001632",217,254,251,220,284,279
"ENSMUSG00000001642",2402,3373,3052,3398,3258,2910
"ENSMUSG00000001663",218,245,241,143,137,116
"ENSMUSG00000001665",46,45,41,55,49,41
"ENSMUSG00000001666",293,486,418,400,347,327
"ENSMUSG00000001670",10,21,7,45,2,2
"ENSMUSG00000001672",0,0,0,0,0,0
"ENSMUSG00000001674",233,193,247,267,282,287
"ENSMUSG00000001687",870,869,793,887,960,891
"ENSMUSG00000001700",227,245,274,266,266,223
"ENSMUSG00000001707",144,215,169,193,187,147
"ENSMUSG00000001729",1966,1671,1923,1990,2384,2219
"ENSMUSG00000001739",116,43,45,39,33,60
"ENSMUSG00000001741",134,98,97,177,115,108
"ENSMUSG00000001750",243,247,237,170,181,209
"ENSMUSG00000001751",104,102,134,102,106,112
"ENSMUSG00000001755",172,176,162,173,175,151
"ENSMUSG00000001761",231,222,214,170,187,173
"ENSMUSG00000001763",31,24,21,19,19,22
"ENSMUSG00000001767",292,330,274,349,380,355
"ENSMUSG00000001768",480,426,367,487,393,374
"ENSMUSG00000001774",885,974,840,797,885,846
"ENSMUSG00000001783",852,930,959,999,995,984
"ENSMUSG00000001785",268,256,269,259,253,277
"ENSMUSG00000001786",167,146,183,147,144,199
"ENSMUSG00000001794",2900,3507,3662,3343,3194,3007
"ENSMUSG00000001802",119,104,117,105,102,122
"ENSMUSG00000001829",785,859,1019,913,984,1192
"ENSMUSG00000001833",2116,2107,1707,2252,2492,2247
"ENSMUSG00000001844",156,181,190,153,110,157
"ENSMUSG00000001847",2327,2596,2325,2096,2279,2462
"ENSMUSG00000001855",249,199,281,227,232,308
"ENSMUSG00000001864",84,31,75,35,33,25
"ENSMUSG00000001865",6,26,3,8,27,18
"ENSMUSG00000001870",708,677,496,588,648,714
"ENSMUSG00000001891",4268,4216,4601,5483,5994,4939
"ENSMUSG00000001909",312,396,395,290,292,244
"ENSMUSG00000001910",456,312,420,500,505,525
"ENSMUSG00000001911",979,553,756,915,973,1192
"ENSMUSG00000001918",356,447,322,198,232,184
"ENSMUSG00000001924",2185,1316,2458,2441,2462,3030
"ENSMUSG00000001930",754,361,494,801,393,479
"ENSMUSG00000001942",302,223,220,236,268,279
"ENSMUSG00000001943",43,50,47,30,63,78
"ENSMUSG00000001946",747,751,818,756,793,816
"ENSMUSG00000001948",25,54,31,26,29,35
"ENSMUSG00000001962",273,316,284,231,228,256
"ENSMUSG00000001964",345,348,454,388,377,383
"ENSMUSG00000001983",330,165,287,366,465,521
"ENSMUSG00000001985",13,2,0,1,9,5
"ENSMUSG00000001986",34,29,27,12,17,16
"ENSMUSG00000001995",772,527,682,727,760,943
"ENSMUSG00000001998",156,104,120,101,121,155
"ENSMUSG00000001999",192,211,186,242,211,143
"ENSMUSG00000002006",43,45,35,13,29,22
"ENSMUSG00000002007",415,340,434,454,351,489
"ENSMUSG00000002010",5304,6477,6619,6610,6619,6237
"ENSMUSG00000002014",446,580,479,423,388,375
"ENSMUSG00000002015",744,877,772,770,750,678
"ENSMUSG00000002017",725,765,760,771,797,675
"ENSMUSG00000002020",66,23,42,20,13,19
"ENSMUSG00000002028",857,513,652,514,656,857
"ENSMUSG00000002031",163,173,176,177,128,111
"ENSMUSG00000002032",117,131,118,128,191,154
"ENSMUSG00000002033",33,10,4,3,1,7
"ENSMUSG00000002043",67,119,129,105,92,88
"ENSMUSG00000002052",745,447,761,613,713,909
"ENSMUSG00000002055",24,10,3,38,10,11
"ENSMUSG00000002058",42,64,47,47,30,44
"ENSMUSG00000002059",137,111,117,95,88,92
"ENSMUSG00000002064",478,745,672,554,575,489
"ENSMUSG00000002068",11,14,15,22,13,15
"ENSMUSG00000002076",5,6,6,2,7,2
"ENSMUSG00000002083",22,33,24,37,21,25
"ENSMUSG00000002102",1915,3161,2620,2667,2585,2102
"ENSMUSG00000002103",411,396,388,405,402,414
"ENSMUSG00000002105",429,273,419,282,257,296
"ENSMUSG00000002107",774,721,713,682,676,760
"ENSMUSG00000002108",218,323,267,251,237,181
"ENSMUSG00000002109",93,103,106,95,84,113
"ENSMUSG00000002111",40,37,32,62,41,27
"ENSMUSG00000002129",486,389,435,463,440,507
"ENSMUSG00000002147",840,703,923,796,809,812
"ENSMUSG00000002204",2,2,6,12,1,7
"ENSMUSG00000002205",230,237,298,211,250,247
"ENSMUSG00000002210",96,115,108,88,61,92
"ENSMUSG00000002221",242,240,268,246,232,262
"ENSMUSG00000002222",2046,1941,1742,1818,2037,2124
"ENSMUSG00000002227",90,78,125,86,60,89
"ENSMUSG00000002228",227,216,214,197,208,209
"ENSMUSG00000002233",534,524,643,634,554,458
"ENSMUSG00000002249",227,233,289,188,181,168
"ENSMUSG00000002250",237,155,234,254,224,297
"ENSMUSG00000002257",34,27,20,27,19,15
"ENSMUSG00000002265",858,241,598,155,170,243
"ENSMUSG00000002266",50,47,50,60,48,45
"ENSMUSG00000002274",196,275,263,257,236,198
"ENSMUSG00000002279",270,264,273,317,263,307
"ENSMUSG00000002280",396,644,541,551,527,534
"ENSMUSG00000002289",134,264,119,166,209,110
"ENSMUSG00000002297",27,37,23,33,30,21
"ENSMUSG00000002307",171,121,161,161,161,171
"ENSMUSG00000002308",200,316,259,203,176,166
"ENSMUSG00000002319",383,347,468,440,380,474
"ENSMUSG00000002320",514,402,505,455,463,468
"ENSMUSG00000002324",2,0,4,4,2,7
"ENSMUSG00000002325",334,322,363,361,306,319
"ENSMUSG00000002326",152,144,136,141,157,117
"ENSMUSG00000002329",693,1112,891,879,810,836
"ENSMUSG00000002332",312,290,386,362,359,357
"ENSMUSG00000002342",792,871,868,800,773,774
"ENSMUSG00000002343",86,74,94,87,83,101
"ENSMUSG00000002345",67,62,63,68,71,78
"ENSMUSG00000002346",876,861,1122,726,978,952
"ENSMUSG00000002365",441,443,444,508,465,513
"ENSMUSG00000002372",432,415,502,436,403,423
"ENSMUSG00000002379",2194,3677,3099,3099,2897,2243
"ENSMUSG00000002393",321,532,363,402,376,328
"ENSMUSG00000002395",600,1277,855,825,811,604
"ENSMUSG00000002396",96,154,156,117,105,114
"ENSMUSG00000002409",193,108,188,155,188,239
"ENSMUSG00000002413",448,314,365,349,357,388
"ENSMUSG00000002416",1072,2407,1428,1522,1537,1172
"ENSMUSG00000002428",414,431,436,391,409,314
"ENSMUSG00000002455",558,505,651,528,543,585
"ENSMUSG00000002458",68,55,49,55,57,67
"ENSMUSG00000002475",52,59,66,53,52,55
"ENSMUSG00000002477",174,234,191,241,192,203
"ENSMUSG00000002486",74,69,113,79,76,74
"ENSMUSG00000002489",60,36,49,56,78,49
"ENSMUSG00000002496",1015,912,1308,979,1150,1469
"ENSMUSG00000002504",975,836,1194,996,976,1077
"ENSMUSG00000002524",639,729,789,747,725,722
"ENSMUSG00000002546",1189,963,1270,1049,1055,1213
"ENSMUSG00000002550",253,304,295,257,246,233
