"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000000001",610,437,414,485,414,370
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",38,35,36,49,61,27
"ENSMUSG00000000031",1308,112,444,204,39,62
"ENSMUSG00000000037",38,10,20,8,9,7
"ENSMUSG00000000049",4,27,0,106,11,0
"ENSMUSG00000000056",1342,1046,1450,1379,1517,1251
"ENSMUSG00000000058",895,901,602,1090,915,751
"ENSMUSG00000000078",1405,1039,1013,827,1134,1119
"ENSMUSG00000000085",513,359,584,524,503,489
"ENSMUSG00000000088",7249,9775,8619,9703,8852,6935
"ENSMUSG00000000093",122,66,85,78,75,81
"ENSMUSG00000000094",1,0,0,0,0,0
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",26,3,6,15,12,17
"ENSMUSG00000000125",0,0,0,0,0,0
"ENSMUSG00000000126",74,71,95,88,86,61
"ENSMUSG00000000127",229,200,249,249,247,212
"ENSMUSG00000000131",769,806,924,645,631,684
"ENSMUSG00000000134",289,173,232,271,192,190
"ENSMUSG00000000142",48,22,27,38,30,29
"ENSMUSG00000000148",154,95,129,143,99,95
"ENSMUSG00000000149",1588,1550,1752,1661,1756,1772
"ENSMUSG00000000154",5,1,3,9,8,1
"ENSMUSG00000000157",0,0,0,0,0,0
"ENSMUSG00000000159",1,1,0,2,0,0
"ENSMUSG00000000167",2,0,5,2,4,1
"ENSMUSG00000000168",5542,4919,4977,5316,5659,5395
"ENSMUSG00000000171",5752,6622,6382,7029,7128,5584
"ENSMUSG00000000182",0,0,1,0,0,0
"ENSMUSG00000000183",9,2,9,3,2,2
"ENSMUSG00000000184",1795,860,1511,1508,1404,1472
"ENSMUSG00000000194",615,393,619,651,552,519
"ENSMUSG00000000197",24,10,15,8,9,7
"ENSMUSG00000000202",0,0,0,2,0,0
"ENSMUSG00000000204",6,20,9,10,3,6
"ENSMUSG00000000214",0,0,0,0,0,0
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",1,0,0,0,0,0
"ENSMUSG00000000223",27,4,9,8,11,1
"ENSMUSG00000000244",11,7,5,18,5,3
"ENSMUSG00000000247",0,0,0,0,0,0
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",1208,1076,1381,1252,1318,1145
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",342,305,279,323,374,340
"ENSMUSG00000000275",604,408,623,580,588,652
"ENSMUSG00000000276",429,380,309,535,370,349
"ENSMUSG00000000278",329,220,255,273,226,178
"ENSMUSG00000000282",175,149,193,140,134,139
"ENSMUSG00000000290",87,77,57,107,78,53
"ENSMUSG00000000295",27,41,25,22,25,19
"ENSMUSG00000000296",48,99,56,90,99,62
"ENSMUSG00000000301",8,13,21,13,9,6
"ENSMUSG00000000303",6,0,1,5,0,1
"ENSMUSG00000000305",43,39,43,46,21,48
"ENSMUSG00000000308",7,3,6,1,0,1
"ENSMUSG00000000317",543,346,391,526,505,474
"ENSMUSG00000000318",67,35,24,28,25,16
"ENSMUSG00000000320",62,119,56,86,47,52
"ENSMUSG00000000326",1394,1312,2030,2050,1735,1635
"ENSMUSG00000000339",289,225,244,253,225,200
"ENSMUSG00000000340",869,721,756,1138,1268,1094
"ENSMUSG00000000346",2821,2502,2970,2874,2761,2625
"ENSMUSG00000000355",269,300,241,306,315,192
"ENSMUSG00000000359",45,38,60,59,59,43
"ENSMUSG00000000365",4,5,10,5,11,4
"ENSMUSG00000000374",687,441,597,712,725,692
"ENSMUSG00000000378",254,267,285,291,265,223
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",623,572,735,619,667,659
"ENSMUSG00000000385",0,0,0,0,0,0
"ENSMUSG00000000386",16,8,13,23,13,0
"ENSMUSG00000000392",64,53,56,61,76,65
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",6458,7629,7900,8422,8142,6328
