,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5
ENSMUSG00000000001,10384,11901,9858,10987,9872,9809,9616,10996,10051,14366,10682,8862
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,63,87,116,44,35,59,33,65,40,97,50,41
ENSMUSG00000000031,24,43,49,19,11,148,11,14,20,49,58,11
ENSMUSG00000000037,12,11,20,8,8,14,8,6,10,24,4,5
ENSMUSG00000000049,117598,116517,75640,116585,120926,114210,100149,137716,121317,179653,145868,123428
ENSMUSG00000000056,3864,5104,2790,3168,4087,4577,2040,3224,3997,5614,2360,2067
ENSMUSG00000000058,395,643,523,466,314,349,273,267,367,568,325,335
ENSMUSG00000000078,1131,1313,1290,1132,921,1143,1352,1492,885,1676,1909,1207
ENSMUSG00000000085,331,343,355,312,338,308,332,445,420,544,498,400
ENSMUSG00000000088,7855,7150,5738,7697,7412,6963,7136,7229,7276,8113,6473,6393
ENSMUSG00000000093,293,350,294,199,203,341,193,175,200,326,222,181
ENSMUSG00000000094,2,0,1,1,2,5,1,4,2,1,6,1
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,172,194,224,180,238,206,318,279,294,302,330,392
ENSMUSG00000000125,0,0,0,0,0,1,0,0,2,0,0,1
ENSMUSG00000000126,15,32,18,18,28,15,24,15,42,28,41,30
ENSMUSG00000000127,826,920,847,729,873,919,928,1054,993,1274,1067,1011
ENSMUSG00000000131,1922,2766,1560,1623,1981,2240,1977,2674,2132,3424,3431,2006
ENSMUSG00000000134,573,845,560,596,611,605,750,799,711,1097,1225,692
ENSMUSG00000000142,364,590,417,501,462,310,468,738,518,676,1113,777
ENSMUSG00000000148,506,595,359,417,589,547,538,654,530,762,848,511
ENSMUSG00000000149,6742,8752,3885,4268,5933,7117,4326,4525,5997,10145,8997,4072
