"Paradigm","Method","Arm","RR_Mission","comparator","n_single_sig","n_retained","n_dropped","retained_frac","AUC_retain_by_signif","rank_biserial","wilcox_greater_p","perm_p","median_logp_retained","median_logp_dropped","AUC_retain_by_absNES","median_absNES_retained","median_absNES_dropped","perm_p_adj"
"gsea","svm","zscore","RR1_NASA","full_merge",270,29,241,0.107,0.516,0.032,0.388,0.372,1.736,1.661,0.448,1.793,1.838,0.433
"gsea","svm","zscore","RR6","full_merge",327,93,234,0.284,0.652,0.304,9.2e-06,5e-04,2.233,1.54,0.488,1.788,1.804,0.000758
"gsea","svm","zscore","RR8","full_merge",250,94,156,0.376,0.664,0.328,6.95e-06,5e-04,2.071,1.44,0.444,1.78,1.802,0.000758
"gsea","svm","zscore","RR9","full_merge",642,133,509,0.207,0.602,0.203,0.000152,5e-04,2.252,1.69,0.365,1.609,1.675,0.000758
"gsea","svm","zscore","RR3","full_merge",82,23,59,0.28,0.666,0.332,0.0101,0.0095,1.99,1.444,0.722,2.035,1.842,0.0119
"gsea","svm","zscore","RR47","full_merge",331,92,239,0.278,0.677,0.354,3.02e-07,5e-04,2.248,1.508,0.521,1.673,1.658,0.000758
"gsea","svm","deseq2","RR1_NASA","full_merge",270,61,209,0.226,0.452,-0.097,0.875,0.875,1.678,1.661,0.32,1.764,1.872,0.893
"gsea","svm","deseq2","RR6","full_merge",327,105,222,0.321,0.567,0.134,0.025,0.032,1.963,1.573,0.422,1.757,1.814,0.039
"gsea","svm","deseq2","RR8","full_merge",250,95,155,0.38,0.542,0.084,0.133,0.122,1.756,1.501,0.348,1.733,1.83,0.145
"gsea","svm","deseq2","RR9","full_merge",642,161,481,0.251,0.679,0.357,5.73e-12,5e-04,2.491,1.586,0.455,1.643,1.669,0.000758
"gsea","svm","deseq2","RR3","full_merge",82,42,40,0.512,0.725,0.45,0.000177,0.001,1.901,1.264,0.71,1.966,1.82,0.00139
"gsea","svm","deseq2","RR47","full_merge",331,104,227,0.314,0.661,0.321,1.37e-06,5e-04,2.062,1.508,0.555,1.685,1.651,0.000758
"gsea","svm","ruvg","RR1_NASA","full_merge",270,28,242,0.104,0.499,-0.002,0.508,0.506,1.777,1.661,0.384,1.762,1.849,0.562
"gsea","svm","ruvg","RR6","full_merge",327,91,236,0.278,0.621,0.241,0.000358,5e-04,2.097,1.549,0.421,1.741,1.817,0.000758
"gsea","svm","ruvg","RR8","full_merge",250,86,164,0.344,0.66,0.32,1.66e-05,5e-04,1.984,1.44,0.391,1.733,1.811,0.000758
"gsea","svm","ruvg","RR9","full_merge",642,129,513,0.201,0.662,0.323,6.72e-09,5e-04,2.491,1.61,0.409,1.625,1.671,0.000758
"gsea","svm","ruvg","RR3","full_merge",82,31,51,0.378,0.742,0.484,0.000128,5e-04,1.99,1.283,0.644,1.955,1.858,0.000758
"gsea","svm","ruvg","RR47","full_merge",331,102,229,0.308,0.749,0.499,2.1e-13,5e-04,2.4,1.428,0.628,1.7,1.642,0.000758
"gsea","svm","combat_ref","RR1_NASA","full_merge",270,27,243,0.1,0.658,0.316,0.00358,0.004,2.322,1.639,0.571,1.875,1.824,0.00513
"gsea","svm","combat_ref","RR6","full_merge",327,114,213,0.349,0.615,0.229,0.000317,5e-04,2.144,1.536,0.507,1.787,1.801,0.000758
"gsea","svm","combat_ref","RR8","full_merge",250,96,154,0.384,0.71,0.42,1.23e-08,5e-04,2.408,1.38,0.53,1.813,1.777,0.000758
"gsea","svm","combat_ref","RR9","full_merge",642,157,485,0.245,0.655,0.311,2.34e-09,5e-04,2.422,1.607,0.433,1.647,1.671,0.000758
"gsea","svm","combat_ref","RR3","full_merge",82,21,61,0.256,0.745,0.49,0.000429,5e-04,3.05,1.317,0.662,2.087,1.858,0.000758
"gsea","svm","combat_ref","RR47","full_merge",331,121,210,0.366,0.652,0.305,1.97e-06,5e-04,1.988,1.491,0.465,1.655,1.666,0.000758
