RR_Mission,ID,Description,single_logp,single_NES,in_full_referee,within_study_selection_freq,n_success,n_attempt,verdict
RR1_NASA,GO:0002181,cytoplasmic translation,7.423,-2.887,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0006941,striated muscle contraction,7.423,-2.504,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0098869,cellular oxidant detoxification,5.933,-2.409,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0006936,muscle contraction,7.423,-2.346,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0003009,skeletal muscle contraction,3.379,-2.286,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:1990748,cellular detoxification,5.85,-2.232,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0014902,myotube differentiation,6.079,-2.173,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0098754,detoxification,5.764,-2.17,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0006575,modified amino acid metabolic process,6.338,-2.164,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0009152,purine ribonucleotide biosynthetic process,5.976,-2.161,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0170035,L-amino acid catabolic process,3.68,-2.16,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0033539,fatty acid beta-oxidation using acyl-CoA dehydrogenase,2.818,-2.158,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0097237,cellular response to toxic substance,4.852,-2.153,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0014819,regulation of skeletal muscle contraction,2.517,-2.145,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0050879,multicellular organismal movement,3.183,-2.136,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0050881,musculoskeletal movement,2.818,-2.132,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0170033,L-amino acid metabolic process,5.795,-2.129,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0009260,ribonucleotide biosynthetic process,5.578,-2.118,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0034377,plasma lipoprotein particle assembly,1.964,-2.098,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0170039,proteinogenic amino acid metabolic process,4.906,-2.095,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0065005,protein-lipid complex assembly,2.322,-2.088,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0170040,proteinogenic amino acid catabolic process,3.315,-2.077,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0046390,ribose phosphate biosynthetic process,5.578,-2.052,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0150172,regulation of phosphatidylcholine metabolic process,1.562,-2.032,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0060426,lung vasculature development,1.559,-2.029,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0010898,positive regulation of triglyceride catabolic process,1.559,-2.027,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0006749,glutathione metabolic process,2.183,-2.019,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0034370,triglyceride-rich lipoprotein particle remodeling,1.512,-2.019,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0034372,very-low-density lipoprotein particle remodeling,1.512,-2.019,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0010574,regulation of vascular endothelial growth factor production,2.02,-2,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0033314,mitotic DNA replication checkpoint signaling,2.099,1.992,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0070444,oligodendrocyte progenitor proliferation,2.097,1.991,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0006805,xenobiotic metabolic process,3.448,-1.982,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:2000279,negative regulation of DNA biosynthetic process,1.868,1.981,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0010573,vascular endothelial growth factor production,1.678,-1.979,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0035082,axoneme assembly,2.322,1.968,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0070445,regulation of oligodendrocyte progenitor proliferation,1.818,1.968,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0000056,ribosomal small subunit export from nucleus,1.661,-1.962,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0014857,regulation of skeletal muscle cell proliferation,1.918,1.957,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0035235,ionotropic glutamate receptor signaling pathway,1.593,1.951,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0033108,mitochondrial respiratory chain complex assembly,2.888,-1.95,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0043586,tongue development,1.393,1.944,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0034447,very-low-density lipoprotein particle clearance,1.21,-1.941,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0006164,purine nucleotide biosynthetic process,4.668,-1.934,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0050996,positive regulation of lipid catabolic process,1.559,-1.933,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0015669,gas transport,1.127,-1.931,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0030200,heparan sulfate proteoglycan catabolic process,1.127,-1.93,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0001578,microtubule bundle formation,2.89,1.929,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0046889,positive regulation of lipid biosynthetic process,2.818,-1.924,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0071450,cellular response to oxygen radical,1.424,-1.919,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0071451,cellular response to superoxide,1.424,-1.919,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0006103,2-oxoglutarate metabolic process,1.133,-1.915,false,0,30,30,likely_noise
RR1_NASA,GO:1990806,ligand-gated ion channel signaling pathway,1.75,1.915,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0048525,negative regulation of viral process,1.734,1.914,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0019430,removal of superoxide radicals,1.512,-1.906,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0048821,erythrocyte development,1.661,1.902,false,0.033,30,30,likely_noise
RR1_NASA,GO:0043691,reverse cholesterol transport,1.312,-1.898,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0045071,negative regulation of viral genome replication,1.779,1.897,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0000076,DNA replication checkpoint signaling,1.452,1.897,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0014856,skeletal muscle cell proliferation,1.495,1.894,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0014850,response to muscle activity,1.422,-1.876,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0016226,iron-sulfur cluster assembly,1.107,-1.872,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0031163,metallo-sulfur cluster assembly,1.107,-1.872,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0097066,response to thyroid hormone,1.084,-1.867,false,0.033,30,30,likely_noise
RR1_NASA,GO:0030948,negative regulation of vascular endothelial growth factor receptor signaling pathway,1.25,-1.865,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0033489,cholesterol biosynthetic process via desmosterol,1.334,1.865,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0061469,regulation of type B pancreatic cell proliferation,1.006,-1.864,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0044273,sulfur compound catabolic process,1.331,-1.855,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0015936,coenzyme A metabolic process,1.278,-1.853,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0036196,zymosterol metabolic process,1.042,1.853,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0036197,zymosterol biosynthetic process,1.042,1.853,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0000028,ribosomal small subunit assembly,1.13,-1.853,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0001975,response to amphetamine,1.133,-1.85,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0060080,inhibitory postsynaptic potential,1.177,1.849,false,0.033,30,30,likely_noise
RR1_NASA,GO:0009081,branched-chain amino acid metabolic process,1.129,-1.847,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:2000342,negative regulation of chemokine (C-X-C motif) ligand 2 production,1.78,1.838,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0009636,response to toxic substance,4.297,-1.837,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0055090,acylglycerol homeostasis,1.247,-1.831,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,1.818,1.825,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0030071,regulation of mitotic metaphase/anaphase transition,1.841,1.824,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0140013,meiotic nuclear division,2.615,1.824,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0000305,response to oxygen radical,1.227,-1.823,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0000303,response to superoxide,1.023,-1.82,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0033045,regulation of sister chromatid segregation,2.144,1.818,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0010744,positive regulation of macrophage derived foam cell differentiation,1.112,-1.816,false,0,30,30,likely_noise
RR1_NASA,GO:0007131,reciprocal meiotic recombination,1.361,1.814,true,0.033,30,30,likely_noise
RR1_NASA,GO:0140527,reciprocal homologous recombination,1.361,1.814,true,0.033,30,30,likely_noise
RR1_NASA,GO:0051146,striated muscle cell differentiation,5.63,-1.812,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:1903046,meiotic cell cycle process,3.306,1.812,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0044784,metaphase/anaphase transition of cell cycle,1.68,1.811,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0043501,skeletal muscle adaptation,1.133,-1.809,false,0,30,30,likely_noise
RR1_NASA,GO:0044539,long-chain fatty acid import into cell,1.129,-1.807,false,0,30,30,likely_noise
RR1_NASA,GO:0003139,secondary heart field specification,1.176,1.807,false,0.033,30,30,likely_noise
RR1_NASA,GO:0015909,long-chain fatty acid transport,1.422,-1.804,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0051985,negative regulation of chromosome segregation,1.176,1.802,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0035825,homologous recombination,1.076,1.8,false,1,30,30,heterogeneity_loss
