"Arm","Method","ID","Description","merged_NES","meta_recovered","loso_survival","n_loso","n_leadingedge_in_meta","median_I2_leadingedge","median_signagree_leadingedge","verdict"
"zscore","svm","GO:0006271","DNA strand elongation involved in DNA replication",2.179,FALSE,0,6,8,0.705,0.584,"artifact_candidate"
"zscore","svm","GO:0060055","angiogenesis involved in wound healing",-2.1,TRUE,6,6,14,0.378,0.833,"credible_discovery"
"zscore","svm","GO:0001964","startle response",-2.039,FALSE,0,6,12,0.308,0.667,"artifact_candidate"
"zscore","svm","GO:0015838","amino-acid betaine transport",-1.998,FALSE,0,6,6,0.738,0.667,"artifact_candidate"
"zscore","svm","GO:0042573","retinoic acid metabolic process",1.989,FALSE,0,6,12,0.665,0.667,"artifact_candidate"
"zscore","svm","GO:0072376","protein activation cascade",-1.984,TRUE,6,6,15,0.631,0.833,"fragile"
"zscore","svm","GO:0001660","fever generation",-1.972,TRUE,6,6,7,0.44,0.833,"credible_discovery"
"zscore","svm","GO:0045348","positive regulation of MHC class II biosynthetic process",-1.969,FALSE,0,6,5,0.29,0.667,"artifact_candidate"
"zscore","svm","GO:0072393","microtubule anchoring at microtubule organizing center",1.961,TRUE,4,6,4,0.399,0.5,"fragile"
"zscore","svm","GO:0044341","sodium-dependent phosphate transport",1.955,TRUE,4,6,5,0.693,0.833,"fragile"
"zscore","svm","GO:0014047","glutamate secretion",-1.936,TRUE,3,6,21,0.37,0.667,"fragile"
"zscore","svm","GO:0106104","regulation of glutamate receptor clustering",1.933,TRUE,4,6,6,0.318,0.584,"fragile"
"zscore","svm","GO:1904717","regulation of AMPA glutamate receptor clustering",1.933,TRUE,4,6,6,0.318,0.584,"fragile"
"zscore","svm","GO:0060008","Sertoli cell differentiation",1.933,FALSE,0,6,12,0.343,0.667,"artifact_candidate"
"zscore","svm","GO:0098917","retrograde trans-synaptic signaling",-1.929,FALSE,0,6,6,0.34,0.667,"artifact_candidate"
"zscore","svm","GO:0034454","microtubule anchoring at centrosome",1.926,TRUE,5,6,4,0.399,0.5,"credible_discovery"
"zscore","svm","GO:0045346","regulation of MHC class II biosynthetic process",-1.924,FALSE,0,6,5,0.29,0.667,"artifact_candidate"
"zscore","svm","GO:0040019","positive regulation of embryonic development",1.918,FALSE,0,6,6,0.148,0.667,"artifact_candidate"
"zscore","svm","GO:0051124","synaptic assembly at neuromuscular junction",-1.909,FALSE,0,6,5,0.679,0.667,"artifact_candidate"
"zscore","svm","GO:0061042","vascular wound healing",-1.902,TRUE,6,6,10,0.378,0.833,"credible_discovery"
"zscore","svm","GO:0034116","positive regulation of heterotypic cell-cell adhesion",-1.897,FALSE,0,6,5,0.79,0.833,"artifact_candidate"
"zscore","svm","GO:0042670","retinal cone cell differentiation",-1.896,FALSE,0,6,6,0.675,0.667,"artifact_candidate"
"zscore","svm","GO:0006835","dicarboxylic acid transport",-1.884,TRUE,6,6,50,0.49,0.667,"credible_discovery"
"zscore","svm","GO:0070192","chromosome organization involved in meiotic cell cycle",1.884,FALSE,0,6,14,0.353,0.667,"artifact_candidate"
"zscore","svm","GO:0045342","MHC class II biosynthetic process",-1.877,FALSE,0,6,5,0.29,0.667,"artifact_candidate"
"zscore","svm","GO:0042745","circadian sleep/wake cycle",-1.873,TRUE,4,6,9,0.671,0.667,"fragile"
"zscore","svm","GO:0097090","presynaptic membrane organization",-1.868,TRUE,5,6,4,0.063,0.75,"credible_discovery"
"zscore","svm","GO:0160257","complement activation, GZMK pathway",-1.867,TRUE,4,6,10,0.823,0.667,"fragile"
"zscore","svm","GO:0007622","rhythmic behavior",-1.864,FALSE,0,6,16,0.776,0.667,"artifact_candidate"
"zscore","svm","GO:0034616","response to laminar fluid shear stress",-1.862,FALSE,0,6,10,0,0.667,"artifact_candidate"
"zscore","svm","GO:0060009","Sertoli cell development",1.862,FALSE,0,6,9,0.375,0.667,"artifact_candidate"
"zscore","svm","GO:0031652","positive regulation of heat generation",-1.861,TRUE,4,6,6,0.333,0.833,"fragile"
"zscore","svm","GO:0042730","fibrinolysis",-1.86,TRUE,6,6,14,0.714,0.75,"fragile"
"zscore","svm","GO:0071578","zinc ion import across plasma membrane",-1.858,FALSE,0,6,11,0.555,0.667,"artifact_candidate"
"zscore","svm","GO:0043407","negative regulation of MAP kinase activity",-1.853,FALSE,0,6,14,0.422,0.667,"artifact_candidate"
"zscore","svm","GO:0060693","regulation of branching involved in salivary gland morphogenesis",-1.85,FALSE,0,6,8,0.384,0.667,"artifact_candidate"
"zscore","svm","GO:0035865","cellular response to potassium ion",-1.849,FALSE,0,6,7,0.15,0.667,"artifact_candidate"
"zscore","svm","GO:0097035","regulation of membrane lipid distribution",-1.846,TRUE,5,6,31,0.455,0.667,"credible_discovery"
"zscore","svm","GO:0010039","response to iron ion",-1.844,FALSE,0,6,14,0.641,0.667,"artifact_candidate"
"zscore","svm","GO:1901626","regulation of postsynaptic membrane organization",1.843,TRUE,2,6,5,0.502,0.667,"fragile"
"zscore","svm","GO:0072337","modified amino acid transport",-1.842,TRUE,4,6,12,0.653,0.667,"fragile"
"zscore","svm","GO:1902745","positive regulation of lamellipodium organization",-1.841,FALSE,0,6,14,0.468,0.667,"artifact_candidate"
"zscore","svm","GO:0051952","regulation of amine transport",-1.84,TRUE,6,6,31,0.571,0.667,"fragile"
"zscore","svm","GO:0090103","cochlea morphogenesis",1.839,FALSE,0,6,13,0.483,0.667,"artifact_candidate"
"zscore","svm","GO:0052646","alditol phosphate metabolic process",-1.836,FALSE,0,6,4,0.397,0.75,"artifact_candidate"
"zscore","svm","GO:0030202","heparin proteoglycan metabolic process",-1.835,FALSE,0,6,9,0.175,0.667,"artifact_candidate"
"zscore","svm","GO:0014059","regulation of dopamine secretion",-1.834,TRUE,6,6,7,0.635,0.667,"fragile"
"zscore","svm","GO:0032835","glomerulus development",-1.832,TRUE,6,6,33,0.497,0.667,"credible_discovery"
"zscore","svm","GO:0015837","amine transport",-1.831,TRUE,6,6,35,0.482,0.667,"credible_discovery"
"zscore","svm","GO:0010713","negative regulation of collagen metabolic process",-1.827,FALSE,0,6,7,0.616,0.667,"artifact_candidate"
