"Method","Paradigm","Arm","RR_Mission","Total_in_Single_Study","Single_Study_Only","Single_and_Merged","Overlap_with_Merged_Total","Merged_Study_Only","Pct_Single_and_Merged"
"svm","gsea","zscore","270",324,250,40,174,134,12.3
"svm","gsea","zscore","580",248,210,11,150,139,4.4
"svm","gsea","zscore","599",65,62,1,174,173,1.5
"svm","gsea","deseq2","270",324,245,34,128,94,10.5
"svm","gsea","deseq2","580",248,203,9,113,104,3.6
"svm","gsea","deseq2","599",65,62,0,131,131,0
"svm","gsea","ruvg","270",324,264,38,132,94,11.7
"svm","gsea","ruvg","580",248,213,14,121,107,5.6
"svm","gsea","ruvg","599",65,59,4,136,132,6.2
"svm","gsea","combat_ref","270",324,169,154,504,350,47.5
"svm","gsea","combat_ref","580",248,108,131,475,344,52.8
"svm","gsea","combat_ref","599",65,29,32,509,477,49.2
"svm","ora","zscore","270",165,148,0,2,2,0
"svm","ora","zscore","580",309,272,0,2,2,0
"svm","ora","zscore","599",228,221,0,1,1,0
"svm","ora","deseq2","270",165,127,0,0,0,0
"svm","ora","deseq2","580",309,237,0,0,0,0
"svm","ora","deseq2","599",228,217,0,0,0,0
"svm","ora","ruvg","270",165,136,0,0,0,0
"svm","ora","ruvg","580",309,243,0,0,0,0
"svm","ora","ruvg","599",228,220,0,0,0,0
"svm","ora","combat_ref","270",165,149,0,5,5,0
"svm","ora","combat_ref","580",309,275,1,5,4,0.3
"svm","ora","combat_ref","599",228,216,0,2,2,0
"glm","gsea","zscore","270",324,256,44,200,156,13.6
"glm","gsea","zscore","580",248,206,19,175,156,7.7
"glm","gsea","zscore","599",65,64,0,200,200,0
"glm","gsea","deseq2","270",324,244,39,159,120,12
"glm","gsea","deseq2","580",248,193,15,144,129,6
"glm","gsea","deseq2","599",65,61,1,161,160,1.5
"glm","gsea","ruvg","270",324,255,51,166,115,15.7
"glm","gsea","ruvg","580",248,200,27,149,122,10.9
"glm","gsea","ruvg","599",65,51,11,170,159,16.9
"glm","gsea","combat_ref","270",324,152,169,606,437,52.2
"glm","gsea","combat_ref","580",248,90,153,576,423,61.7
"glm","gsea","combat_ref","599",65,22,41,608,567,63.1
"glm","ora","zscore","270",165,146,1,2,1,0.6
"glm","ora","zscore","580",309,273,0,2,2,0
"glm","ora","zscore","599",228,222,0,1,1,0
"glm","ora","deseq2","270",165,133,0,0,0,0
"glm","ora","deseq2","580",309,238,0,0,0,0
"glm","ora","deseq2","599",228,217,0,0,0,0
"glm","ora","ruvg","270",165,140,0,0,0,0
"glm","ora","ruvg","580",309,233,0,0,0,0
"glm","ora","ruvg","599",228,219,0,0,0,0
"glm","ora","combat_ref","270",165,150,1,7,6,0.6
"glm","ora","combat_ref","580",309,278,3,7,4,1
"glm","ora","combat_ref","599",228,215,1,4,3,0.4
"elasticnet","gsea","zscore","270",324,245,0,0,0,0
"elasticnet","gsea","zscore","580",248,187,0,0,0,0
"elasticnet","gsea","zscore","599",65,51,0,0,0,0
"elasticnet","gsea","deseq2","270",324,242,0,0,0,0
"elasticnet","gsea","deseq2","580",248,190,0,0,0,0
"elasticnet","gsea","deseq2","599",65,57,0,0,0,0
"elasticnet","gsea","ruvg","270",324,227,0,0,0,0
"elasticnet","gsea","ruvg","580",248,181,0,0,0,0
"elasticnet","gsea","ruvg","599",65,47,0,0,0,0
"elasticnet","gsea","combat_ref","270",324,273,0,0,0,0
"elasticnet","gsea","combat_ref","580",248,207,0,0,0,0
"elasticnet","gsea","combat_ref","599",65,60,0,0,0,0
"elasticnet","ora","zscore","270",165,153,0,4,4,0
"elasticnet","ora","zscore","580",309,282,0,4,4,0
"elasticnet","ora","zscore","599",228,220,0,4,4,0
"elasticnet","ora","deseq2","270",165,147,0,0,0,0
