"Method","Paradigm","Arm","RR_Mission","Total_in_Single_Study","Single_Study_Only","Single_and_Merged","Overlap_with_Merged_Total","Merged_Study_Only","Pct_Single_and_Merged"
"svm","gsea","zscore","RR1_NASA",270,202,29,336,307,10.7
"svm","gsea","zscore","RR6",327,209,93,352,259,28.4
"svm","gsea","zscore","RR8",250,148,94,365,271,37.6
"svm","gsea","zscore","RR9",642,474,133,365,232,20.7
"svm","gsea","deseq2","RR1_NASA",270,163,61,411,350,22.6
"svm","gsea","deseq2","RR6",327,212,105,428,323,32.1
"svm","gsea","deseq2","RR8",250,152,95,442,347,38
"svm","gsea","deseq2","RR9",642,452,161,430,269,25.1
"svm","gsea","ruvg","RR1_NASA",270,194,28,301,273,10.4
"svm","gsea","ruvg","RR6",327,211,91,320,229,27.8
"svm","gsea","ruvg","RR8",250,150,86,327,241,34.4
"svm","gsea","ruvg","RR9",642,479,129,329,200,20.1
"svm","gsea","combat_ref","RR1_NASA",270,196,27,345,318,10
"svm","gsea","combat_ref","RR6",327,194,114,382,268,34.9
"svm","gsea","combat_ref","RR8",250,148,96,383,287,38.4
"svm","gsea","combat_ref","RR9",642,458,157,389,232,24.5
"svm","ora","zscore","RR1_NASA",63,0,0,0,0,0
"svm","ora","zscore","RR6",47,0,0,0,0,0
"svm","ora","zscore","RR8",20,0,0,0,0,0
"svm","ora","zscore","RR9",149,0,1,1,0,0.7
"svm","ora","deseq2","RR1_NASA",63,0,0,0,0,0
"svm","ora","deseq2","RR6",47,0,1,1,0,2.1
"svm","ora","deseq2","RR8",20,0,0,0,0,0
"svm","ora","deseq2","RR9",149,0,1,1,0,0.7
"svm","ora","ruvg","RR1_NASA",63,0,0,0,0,0
"svm","ora","ruvg","RR6",47,0,0,0,0,0
"svm","ora","ruvg","RR8",20,0,0,0,0,0
"svm","ora","ruvg","RR9",149,0,0,0,0,0
"svm","ora","combat_ref","RR1_NASA",63,0,0,0,0,0
"svm","ora","combat_ref","RR6",47,0,0,0,0,0
"svm","ora","combat_ref","RR8",20,0,0,0,0,0
"svm","ora","combat_ref","RR9",149,0,0,0,0,0
